,clstr_id,samp_id,tsa_no,mgmt_unit,species_class,meas_dt,utm_zone,utm_easting,utm_northing,bcalb_x,bcalb_y,elev,baf_pm,baha_L,stemsha_L,wsvha_L,nmvha_L,lead_si,lead_htop,bh_stand_age,tot_stand_age
82,0403-0033-DO1,0403_0033_VRI,40,TSA40_FortSt.John,Poplar,2008-10-08,10,471556,6368450,1151390.089,1388193.733,1320,9,21.6,841.4409369,130.986579,93.35781187,9.96003418,13.425,73.66666667,77.10810891
83,0403-0033-DO1,0403_0033_VRI,40,TSA40_FortSt.John,Poplar,2008-10-08,10,471556,6368450,1151390.089,1388193.733,1320,9,21.6,841.4409369,130.986579,93.35781187,9.96003418,13.425,73.66666667,77.10810891
84,0403-0033-DO1,0403_0033_VRI,40,TSA40_FortSt.John,Poplar,2008-10-08,10,471556,6368450,1151390.089,1388193.733,1320,9,12.6,339.0114701,83.6463088,65.39094632,12.93427734,14.7,73.66666667,77.10810891
85,0403-0034-DO1,0403_0034_VRI,40,TSA40_FortSt.John,Spruce,2008-09-28,10,537714,6382340,1216845.852,1404890.808,889,5,1,12.204081,6.761240253,5.710180713,12.93427734,14.7,8,17.22978231
86,0403-0034-DO1,0403_0034_VRI,40,TSA40_FortSt.John,Spruce,2008-09-28,10,537714,6382340,1216845.852,1404890.808,889,5,1,12.204081,6.761240253,5.710180713,12.93427734,14.7,8,17.22978231
87,0403-0034-DO1,0403_0034_VRI,40,TSA40_FortSt.John,Spruce,2008-09-28,10,537714,6382340,1216845.852,1404890.808,889,5,1,12.204081,6.761240253,5.710180713,12.93427734,14.7,8,17.22978231
88,0403-0034-DO1,0403_0034_VRI,40,TSA40_FortSt.John,Spruce,2008-09-28,10,537714,6382340,1216845.852,1404890.808,889,5,1,12.204081,6.761240253,5.710180713,12.93427734,14.7,8,17.22978231
89,0403-0035-DO1,0403_0035_VRI,40,TSA40_FortSt.John,Other,2008-10-06,10,546175,6390595,1224946.348,1413505.19,870,5,14,1115.371512,65.44505525,40.01927438,11.21025391,14.7,76.66666667,81.60039805
90,0403-0035-DO1,0403_0035_VRI,40,TSA40_FortSt.John,Other,2008-10-06,10,546175,6390595,1224946.348,1413505.19,870,5,13,662.1000395,64.39526795,40.01927438,11.21025391,14.7,76.66666667,81.60039805
91,0403-0035-DO1,0403_0035_VRI,40,TSA40_FortSt.John,Other,2008-10-06,10,546175,6390595,1224946.348,1413505.19,870,5,12,579.2930958,58.64338145,37.97077087,11.21025391,14.7,76.66666667,81.60039805
92,0403-0035-DO1,0403_0035_VRI,40,TSA40_FortSt.John,Other,2008-10-06,10,546175,6390595,1224946.348,1413505.19,870,5,5,126.1413444,28.5106409,21.40970592,11.21025391,14.7,76.66666667,81.60039805
93,0403-0038-DO1,0403_0038_VRI,40,TSA40_FortSt.John,Poplar,2008-10-06,10,545399,6402934,1223653.735,1425817.966,586,12,74.4,2180.654683,709.8194198,566.7073942,23.07563477,27.4,87.8,92.35056473
