PRCDDA,Province,Dissemination area (DA) Population,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Situational vulnerability Quintiles,Situational vulnerability Scores,Economic dependency Quintiles,Economic dependency Scores,Residential instability Quintiles,Residential instability Scores
59331507,British Columbia,776,1,-0.900,1,-0.622,5,0.896,1,-0.922
59331508,British Columbia,496,1,-0.898,3,-0.311,3,-0.090,1,-0.997
59331509,British Columbia,512,2,-0.651,4,-0.021,5,0.736,2,-0.576
59331511,British Columbia,463,1,-0.906,3,-0.296,5,0.733,2,-0.739
59331512,British Columbia,422,1,-0.814,4,0.244,5,2.171,3,-0.230
59331513,British Columbia,295,1,-0.922,4,0.222,5,2.748,4,0.004
59331514,British Columbia,287,1,-0.948,5,0.633,5,1.307,3,-0.298
59331515,British Columbia,871,2,-0.760,4,0.154,5,1.835,1,-0.889
59331516,British Columbia,349,1,-0.902,4,0.083,4,0.405,4,0.155
59331517,British Columbia,476,1,-0.867,5,0.701,3,-0.120,2,-0.619
59331519,British Columbia,304,1,-1.078,5,2.139,3,-0.205,1,-1.034
59331526,British Columbia,472,1,-0.919,5,0.470,5,0.841,2,-0.561
59331529,British Columbia,214,1,-1.143,5,1.872,2,-0.407,1,-0.778
59331535,British Columbia,621,2,-0.652,3,-0.119,4,0.287,4,0.034
59331538,British Columbia,199,3,-0.453,5,0.546,5,0.746,3,-0.190
59331542,British Columbia,454,1,-0.835,3,-0.235,5,0.609,2,-0.669
59331543,British Columbia,532,1,-0.871,2,-0.543,3,-0.009,2,-0.730
59331544,British Columbia,474,1,-0.928,2,-0.443,2,-0.689,2,-0.743
59331545,British Columbia,479,2,-0.669,3,-0.281,5,0.635,3,-0.344
59331548,British Columbia,149,1,-1.190,5,3.337,4,0.113,1,-0.896
59331549,British Columbia,123,1,-1.089,5,3.104,4,0.534,1,-0.841
59331550,British Columbia,528,3,-0.477,3,-0.241,5,0.560,4,0.443
59331551,British Columbia,42,1,-1.041,5,1.988,4,0.515,1,-0.749
59331553,British Columbia,318,1,-1.097,5,4.036,4,0.079,1,-1.126
59331555,British Columbia,365,1,-0.856,5,1.326,4,0.420,4,0.055
59331556,British Columbia,456,3,-0.530,5,0.598,5,0.894,4,0.477
59331557,British Columbia,437,1,-0.980,5,0.544,5,0.595,4,-0.081
59331558,British Columbia,375,2,-0.704,5,0.966,5,1.256,4,0.081
59331559,British Columbia,373,1,-0.777,5,0.714,4,0.435,4,0.666
59331560,British Columbia,389,2,-0.652,5,0.585,2,-0.391,3,-0.145
59331562,British Columbia,851,2,-0.717,5,0.816,3,-0.171,3,-0.379
59331563,British Columbia,530,3,-0.364,5,1.448,3,-0.199,5,0.767
59331564,British Columbia,571,4,0.361,4,0.125,4,0.106,3,-0.359
59331565,British Columbia,390,1,-0.840,2,-0.471,5,1.433,3,-0.388
59331566,British Columbia,503,2,-0.771,2,-0.580,4,0.194,1,-1.103
59331567,British Columbia,680,3,-0.470,4,0.182,2,-0.461,2,-0.504
59331568,British Columbia,576,2,-0.771,5,0.258,5,0.586,1,-0.796
59331569,British Columbia,529,1,-0.801,5,0.262,5,0.729,3,-0.414
59331570,British Columbia,532,1,-0.907,5,3.124,4,0.360,3,-0.275
59331573,British Columbia,142,1,-1.015,5,3.924,4,0.208,3,-0.422
59331579,British Columbia,41,2,-0.734,5,4.700,5,1.612,2,-0.503
59331582,British Columbia,63,1,-0.893,5,4.495,3,-0.197,1,-0.934
59331588,British Columbia,64,1,-1.008,5,2.825,5,0.854,2,-0.681
59331592,British Columbia,219,2,-0.740,5,0.924,4,0.525,4,0.271
59331593,British Columbia,80,1,-1.056,5,2.742,4,0.387,1,-1.154
59331600,British Columbia,139,1,-0.918,5,3.578,4,0.352,1,-0.851
59331602,British Columbia,71,2,-0.699,5,4.674,5,1.404,1,-1.032
59331627,British Columbia,70,1,-1.058,5,2.254,4,0.229,1,-1.323
59331628,British Columbia,90,2,-0.646,5,3.743,5,1.026,4,0.059
59331630,British Columbia,261,1,-0.892,5,0.734,5,1.168,3,-0.479
59331631,British Columbia,485,1,-0.855,4,0.164,5,0.671,1,-0.854
59331632,British Columbia,965,1,-0.849,5,0.428,5,2.047,3,-0.246
59331633,British Columbia,250,1,-1.004,4,0.014,4,0.545,3,-0.294
59331634,British Columbia,563,2,-0.633,5,0.444,5,0.800,2,-0.643
59331636,British Columbia,370,1,-0.834,5,0.608,5,1.615,3,-0.476
59331637,British Columbia,310,2,-0.741,5,0.524,4,0.304,2,-0.703
59331638,British Columbia,388,1,-0.948,4,-0.046,4,0.180,2,-0.643
59331639,British Columbia,296,1,-0.888,5,0.367,5,0.655,4,-0.090
59331640,British Columbia,714,2,-0.747,5,0.645,4,0.484,1,-0.808
59331641,British Columbia,671,1,-0.871,4,0.188,4,0.115,3,-0.357
59331642,British Columbia,107,3,-0.508,5,0.820,5,1.911,1,-0.947
59331643,British Columbia,275,1,-0.920,5,0.857,5,0.910,3,-0.296
59331647,British Columbia,141,1,-0.931,5,2.750,5,0.709,1,-0.973
59331650,British Columbia,494,2,-0.657,1,-0.838,2,-0.588,2,-0.687
59331651,British Columbia,606,3,-0.519,2,-0.443,2,-0.485,5,1.013
